City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mpika,ZM,2020-12-01 03:21:21,-11.83,31.45,61.38,92,37,2.35
70,Tahe,CN,2020-12-01 03:21:21,52.33,124.73,10.27,82,0,5.28
71,Buala,SB,2020-12-01 03:21:21,-8.14,159.59,87.58,64,39,6.98
72,Kununurra,AU,2020-12-01 03:21:21,-15.77,128.73,93.2,63,10,3.36
73,Saint-Pierre,RE,2020-12-01 03:21:22,-21.34,55.48,78.8,65,0,4.7
74,Pacific Grove,US,2020-12-01 03:21:22,36.62,-121.92,51.8,70,1,4.7
75,Allende,MX,2020-12-01 03:20:01,25.28,-100.02,55.4,54,75,4.7
76,Saint George,US,2020-12-01 03:17:27,37.1,-113.58,46.4,22,1,1.07
77,Bambous Virieux,MU,2020-12-01 03:21:22,-20.34,57.76,79.0,78,75,16.11
78,Hithadhoo,MV,2020-12-01 03:21:22,-0.6,73.08,81.97,69,78,7.43
79,Carnarvon,AU,2020-12-01 03:17:29,-24.87,113.63,78.62,29,0,17.25
80,Gorele,TR,2020-12-01 03:21:23,41.03,39.0,53.6,54,0,2.24
81,Avarua,CK,2020-12-01 03:18:02,-21.21,-159.78,82.4,78,55,11.41
82,Nanortalik,GL,2020-12-01 03:21:23,60.14,-45.24,31.82,90,44,40.89
83,Itambe,BR,2020-12-01 03:21:23,-15.24,-40.62,67.8,90,54,1.83
84,Villarrica,PY,2020-12-01 03:21:23,-25.75,-56.43,70.57,95,87,3.27
85,Mujiayingzi,CN,2020-12-01 03:21:24,42.12,118.78,15.6,85,1,4.21
86,Rosarito,MX,2020-12-01 03:21:24,32.33,-117.03,60.8,62,5,5.14
87,Kiama,AU,2020-12-01 03:21:24,-34.68,150.87,82.0,73,2,20.42
88,Alice Springs,AU,2020-12-01 03:21:13,-23.7,133.88,99.0,32,75,9.17
89,Zhezkazgan,KZ,2020-12-01 03:21:24,47.8,67.71,-4.13,90,0,10.67
90,East London,ZA,2020-12-01 03:21:24,-33.02,27.91,64.15,64,0,17.47
91,Nantucket,US,2020-12-01 03:21:13,41.28,-70.1,60.8,87,90,29.97
92,Kodiak,US,2020-12-01 03:21:24,57.79,-152.41,37.4,86,1,5.82
93,Upernavik,GL,2020-12-01 03:21:24,72.79,-56.15,-4.9,86,0,12.1
94,Bengkulu,ID,2020-12-01 03:21:24,-3.8,102.27,83.19,56,57,5.17
95,Dunedin,NZ,2020-12-01 03:18:52,-45.87,170.5,55.0,65,1,18.01
96,Sainte-Maxime,FR,2020-12-01 03:21:25,43.3,6.63,43.0,76,2,5.68
97,New Norfolk,AU,2020-12-01 03:21:25,-42.78,147.06,71.01,70,100,5.99
98,Vila Franca Do Campo,PT,2020-12-01 03:21:25,37.72,-25.43,60.8,63,20,28.86
99,Busselton,AU,2020-12-01 03:21:26,-33.65,115.33,63.0,60,92,3.0
100,Nedumangad,IN,2020-12-01 03:21:26,8.6,77.0,84.2,74,20,4.21
101,Esperance,AU,2020-12-01 03:21:26,-33.87,121.9,59.0,58,90,11.41
102,Mahebourg,MU,2020-12-01 03:21:26,-20.41,57.7,78.8,78,75,16.11
