City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Palmeirais,BR,-5.98,-43.06,76.41,63,7,1.36,clear sky
84,Lompoc,US,34.64,-120.46,51.8,87,1,3.69,clear sky
85,Port Elizabeth,ZA,-33.92,25.57,59.0,77,75,8.05,broken clouds
86,Kon Tum,VN,14.35,108.0,77.45,60,14,9.04,few clouds
87,Castro,BR,-24.79,-50.01,62.89,96,77,8.57,broken clouds
88,Flin Flon,CA,54.77,-101.86,18.86,97,76,6.35,broken clouds
89,Hithadhoo,MV,-0.6,73.08,82.24,75,100,12.57,overcast clouds
90,Kruisfontein,ZA,-34.0,24.73,55.99,90,7,1.99,light rain
91,Toktogul,KG,41.87,72.94,34.05,74,100,2.1,overcast clouds
92,Konevo,RU,62.12,39.32,31.3,97,100,10.58,overcast clouds
93,Saskylakh,RU,71.92,114.08,12.74,96,98,5.64,overcast clouds
94,Hilo,US,19.73,-155.09,77.0,65,20,3.36,few clouds
95,Anori,BR,-3.77,-61.64,76.08,83,7,0.25,clear sky
96,Kieta,PG,-6.22,155.63,86.94,61,100,6.35,light rain
97,Kaitangata,NZ,-46.28,169.85,64.99,55,63,3.0,broken clouds
98,Touros,BR,-5.2,-35.46,78.8,78,20,9.17,few clouds
99,Nome,US,64.5,-165.41,8.6,71,1,8.05,clear sky
100,Alenquer,BR,-1.94,-54.74,80.6,83,0,4.7,clear sky
101,Vanimo,PG,-2.67,141.3,80.58,86,100,6.24,moderate rain
102,Bengkulu,ID,-3.8,102.27,83.14,60,26,4.34,scattered clouds
103,Briancon,FR,44.9,6.65,35.01,86,100,4.41,light snow
104,Sindor,RU,62.86,51.89,20.12,96,100,8.75,overcast clouds
105,Ciudad Bolivar,VE,8.12,-63.55,77.67,80,99,10.27,overcast clouds
106,Port Blair,IN,11.67,92.75,83.08,75,100,15.61,light rain
107,Punta Alta,AR,-38.88,-62.07,78.57,32,90,21.23,overcast clouds
108,Ginir,ET,7.13,40.7,54.95,80,32,3.53,scattered clouds
109,Taitung,TW,22.76,121.14,77.0,57,75,8.05,broken clouds
110,Guerrero Negro,MX,27.98,-114.06,62.76,55,0,9.44,clear sky
111,Rafai,CF,4.95,23.92,68.29,53,2,0.67,clear sky
112,Nuuk,GL,64.18,-51.72,21.2,67,2,9.17,clear sky
113,Chokurdakh,RU,70.63,147.92,-1.17,93,94,10.69,overcast clouds
114,Caravelas,BR,-17.71,-39.25,75.85,87,21,8.37,few clouds
115,Aswan,EG,24.09,32.91,54.21,40,0,4.9,clear sky
116,Aykhal,RU,66.0,111.5,14.0,92,75,13.42,light snow
117,Mwene-Ditu,CD,-7.0,23.45,64.89,99,100,1.68,overcast clouds
118,Georgetown,MY,5.41,100.34,82.4,74,20,3.36,few clouds
119,Port-Cartier,CA,50.03,-66.87,43.0,100,100,8.05,overcast clouds
120,Saint-Philippe,RE,-21.36,55.77,80.6,69,90,9.78,overcast clouds
121,Cabatuan,PH,10.88,122.49,84.79,73,100,1.54,moderate rain
122,Truckee,US,39.33,-120.18,33.01,79,1,5.32,clear sky
123,Churapcha,RU,62.0,132.43,-3.28,92,100,0.94,light snow
124,Hami,CN,42.8,93.45,26.04,81,0,4.09,clear sky
125,Kushmurun,KZ,52.45,64.63,3.11,92,0,9.42,clear sky
126,Egvekinot,RU,66.32,-179.17,-1.37,88,0,8.32,clear sky
127,Zhezkazgan,KZ,47.8,67.71,3.4,91,0,11.21,clear sky
128,Makueni,KE,-1.8,37.62,62.83,97,99,2.15,overcast clouds
129,Nikolskoye,RU,59.7,30.79,34.0,86,40,4.47,light snow
130,Saint-Francois,FR,46.42,3.91,43.0,93,75,5.82,broken clouds
131,Husavik,IS,66.04,-17.34,37.4,69,90,16.11,overcast clouds
